,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
11,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1.0,1.0,8,$59.00,30,1125,True,0,0,4.88,True,,59.0,1770.0,0.05,0.12,0.15,2.99,Watergraafsmeer,0.6712328767123288,
12,50888392,1.0,True,Gaasperdam - Driemond,52.30917,5.03833,Entire home/apt,4,2.0,2.0,13,$150.00,2,1125,True,0,0,4.94,True,,37.5,300.0,0.08,0.2,0.23,4.99,Gaasperdam - Driemond,,
13,31742663,0.94,False,Gaasperdam - Driemond,52.29591,5.01325,Entire home/apt,2,1.0,2.0,6,$89.00,2,1125,True,4,3,4.8,False,,44.5,178.0,0.06,0.14,0.15,4.99,Gaasperdam - Driemond,,
14,48864190,0.97,False,IJburg - Zeeburgereiland,52.33851,4.99961,Entire home/apt,16,8.0,12.0,14,$350.00,1,1125,True,19,0,4.82,True,,21.88,350.0,-0.01,0.23,0.3,4.99,IJburg - Zeeburgereiland,,
15,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3.0,4.0,14,$275.00,5,42,True,18,1,4.14,False,,45.83,1375.0,0.02,0.15,0.28,4.99,Bijlmer-Centrum,0.4602739726027397,
16,51340421,0.64,False,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2.0,2.0,11,$275.00,1,1125,True,10,3,4.73,False,,68.75,275.0,0.11,0.15,0.23,4.99,Watergraafsmeer,0.8684931506849315,
17,50472290,0.17,False,Watergraafsmeer,52.33423,4.92661,Entire home/apt,3,2.0,4.0,8,$48.00,14,40,True,5,0,,True,,16.0,672.0,0.11,0.11,0.14,0.99,Watergraafsmeer,0.28493150684931506,
18,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,3.0,2.0,6,$150.00,4,1125,True,1,1,4.88,False,,25.0,600.0,0.09,0.13,0.18,4.99,Watergraafsmeer,0.0684931506849315,
19,33241583,1.0,True,Geuzenveld - Slotermeer,52.3886,4.83331,Private room,6,1.0,6.0,31,$742.00,1,1125,True,23,2,4.27,True,,123.67,742.0,0.02,0.19,0.19,10.99,Geuzenveld - Slotermeer,,
20,33241443,1.0,True,Geuzenveld - Slotermeer,52.38818,4.83349,Private room,2,1.0,1.0,12,$230.00,1,1125,True,20,0,4.7,True,,115.0,230.0,0.06,0.15,0.22,4.99,Geuzenveld - Slotermeer,,
21,-611963318,0.33,False,Watergraafsmeer,52.33048,4.935152,Entire home/apt,8,4.0,8.0,21,$640.00,1,365,True,28,0,,False,,80.0,640.0,0.06,0.09,0.44,10.99,Watergraafsmeer,,
22,47709873,1.0,False,Westerpark,52.39589,4.87612,Entire home/apt,2,1.0,1.0,6,$210.00,3,120,True,0,0,4.75,True,,105.0,630.0,0.09,0.15,0.19,4.99,Westerpark,0.43561643835616437,
23,35243521,0.4,False,Buitenveldert - Zuidas,52.31303,4.87458,Private room,2,1.0,2.0,6,$153.00,1,3,True,10,0,4.89,False,,76.5,153.0,0.06,0.25,0.18,4.99,Buitenveldert - Zuidas,,
24,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1.0,2.0,4,$49.00,3,28,True,3,4,4.47,True,,24.5,147.0,0.08,0.1,0.14,0.99,Oostelijk Havengebied - Indische Buurt,0.20821917808219179,100.0
25,20168,0.72,False,Centrum-Oost,52.36407,4.89393,Private room,2,1.0,1.0,7,$106.00,1,365,True,0,0,4.44,True,,53.0,106.0,0.08,0.16,0.2,4.99,Centrum-Oost,,
26,27886,1.0,True,Centrum-West,52.38761,4.89188,Private room,2,1.0,1.0,12,$126.00,2,356,True,0,0,4.94,True,,63.0,252.0,0.06,0.1,0.21,4.99,Centrum-West,,
27,28871,1.0,True,Centrum-West,52.36775,4.89092,Private room,2,1.0,1.0,4,$75.00,2,1825,True,1,8,4.88,False,,37.5,150.0,0.06,0.15,0.14,4.99,Centrum-West,,
28,29051,1.0,True,Centrum-Oost,52.36584,4.89111,Private room,1,1.0,1.0,1,$55.00,2,730,True,4,6,4.36,False,,55.0,110.0,0.05,0.13,0.17,2.99,Centrum-Oost,,
29,44391,0.67,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2.0,2.0,1,$240.00,3,730,True,0,0,4.71,False,,60.0,720.0,0.09,0.17,0.29,4.99,Centrum-Oost,0.0,73.0
30,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2.0,2.0,5,$232.00,3,1125,True,0,8,4.91,False,,77.33,696.0,0.1,0.25,0.25,4.99,Centrum-West,0.46301369863013697,115.0
31,50523,0.58,False,Centrum-West,52.36811,4.88262,Private room,2,1.0,1.0,8,$118.00,2,365,True,3,3,4.87,False,,59.0,236.0,0.06,0.12,0.17,4.99,Centrum-West,,
32,55709,0.19,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1.0,1.0,5,$151.00,3,30,True,0,0,4.95,False,,75.5,453.0,0.09,0.19,0.24,4.99,Centrum-Oost,0.0027397260273972603,91.0
33,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2.0,2.0,1,$149.00,4,21,True,0,0,4.86,False,,37.25,596.0,0.06,0.14,0.18,4.99,Zuid,0.0,450.0
34,62015,0.83,False,Oud-Oost,52.36431,4.93122,Entire home/apt,2,1.0,1.0,4,$120.00,2,6,True,0,0,4.91,False,,60.0,240.0,0.06,0.22,0.2,4.99,Oud-Oost,,
35,80635,0.87,True,Centrum-West,52.37828,4.8944,Private room,1,1.0,1.0,1,$82.00,3,1125,True,0,0,4.77,True,,82.0,246.0,0.05,0.11,0.15,4.99,Centrum-West,0.0,151.0
36,82482,0.94,True,Centrum-West,52.36968,4.88122,Entire home/apt,4,2.0,2.0,8,$109.00,2,28,True,4,6,4.49,False,,27.25,218.0,0.05,0.19,0.18,4.99,Centrum-West,,
